storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r,rank_index
WP182006,XANGSANE,2006,10,16205709.37894857,0.1048537838655714,17,0.0885416666666666,41,0.173728813559322,16205709.37894857,17,41,14,0.9316747406274546,1.0,1.0,0.9590048443764728,1
WP312013,HAIYAN,2013,2,17394170.59652655,0.1125433365242419,15,0.078125,17,0.0720338983050847,17394170.59652655,15,17,6,1.0,0.4146341463414634,0.8823529411764706,0.8360114777618364,2
WP092014,RAMMASUN,2014,4,11497227.778157592,0.0743890815461726,7,0.0364583333333333,11,0.0466101694915254,11497227.778157592,7,11,9,0.660981661318964,0.2682926829268293,0.4117647058823529,0.5254268734054386,3
WP241988,SKIP,1988,2,10733532.38601236,0.0694478383265978,12,0.0625,7,0.0296610169491525,10733532.38601236,12,7,8,0.6170764122639883,0.1707317073170731,0.7058823529411765,0.5188111271288377,4
WP291995,ANGELA,1995,6,6713078.102377892,0.0434347935014678,11,0.0572916666666666,27,0.1144067796610169,6713078.102377892,11,27,10,0.3859383846516044,0.6585365853658537,0.6470588235294118,0.4932560006618378,5
WP242006,DURIAN,2006,4,8042343.66824019,0.0520353750054115,5,0.0260416666666666,13,0.0550847457627118,8042343.66824019,5,13,13,0.4623585599330714,0.3170731707317073,0.2941176470588235,0.4008010757015932,6
WP282021,RAI,2021,2,7203792.833832979,0.0466098039368939,8,0.0416666666666666,10,0.0423728813559322,7203792.833832979,8,10,9,0.4141498322013415,0.2439024390243902,0.4705882352941176,0.3800537443710201,7
WP222020,GONI,2020,3,8042343.66824019,0.0520353750054115,5,0.0260416666666666,9,0.0381355932203389,8042343.66824019,5,9,11,0.4623585599330714,0.2195121951219512,0.2941176470588235,0.3764108317991542,8
WP171970,JOAN,1970,5,8042343.66824019,0.0520353750054115,5,0.0260416666666666,8,0.0338983050847457,8042343.66824019,5,8,12,0.4623585599330714,0.1951219512195122,0.2941176470588235,0.3703132708235444,9
WP222006,CIMARON,2006,7,5485861.878168464,0.0354944891481926,5,0.0260416666666666,7,0.0296610169491525,5485861.878168464,5,7,27,0.3153850796004001,0.1707317073170731,0.2941176470588235,0.2760316216483319,10
WP271990,MIKE,1990,3,5120423.338217735,0.0331300376584035,6,0.03125,6,0.0254237288135593,5120423.338217735,6,6,8,0.2943758260736062,0.1463414634146341,0.3529411764705882,0.2661520379684105,11
WP201952,WILMA,1952,2,5182431.059165284,0.0335312384956021,5,0.0260416666666666,6,0.0254237288135593,5182431.059165284,5,6,8,0.297940682506596,0.1463414634146341,0.2941176470588235,0.2594674224164396,12
WP182022,NORU,2022,13,3164382.480725229,0.0204741100153858,4,0.0208333333333333,15,0.0635593220338983,3164382.480725229,4,15,20,0.1819220102024943,0.3658536585365853,0.2352941176470588,0.2359107384027017,13
WP292019,KAMMURI,2019,4,4588749.446650982,0.0296900142685157,3,0.015625,4,0.0169491525423728,4588749.446650982,3,4,12,0.2638096149043928,0.0975609756097561,0.1764705882352941,0.2091466010803688,14
WP201998,BABS,1998,7,3736895.010746956,0.0241783665634645,2,0.0104166666666666,6,0.0254237288135593,3736895.010746956,2,6,25,0.2148360561378637,0.1463414634146341,0.1176470588235294,0.1831340583599061,15
WP072008,FENGSHEN,2008,5,4499376.370941281,0.0291117547832482,1,0.0052083333333333,1,0.0042372881355932,4499376.370941281,1,1,17,0.2586715098585824,0.024390243902439,0.0588235294117647,0.1701239963025239,16
WP302019,PHANFONE,2019,4,4499376.370941281,0.0291117547832482,1,0.0052083333333333,1,0.0042372881355932,4499376.370941281,1,1,16,0.2586715098585824,0.024390243902439,0.0588235294117647,0.1701239963025239,17
WP251987,PHYLLIS,1987,2,3384417.577397868,0.0218977757081276,2,0.0104166666666666,3,0.0127118644067796,3384417.577397868,2,3,14,0.1945719434345265,0.073170731707317,0.1176470588235294,0.1526829078110745,18
WP152010,MEGI,2010,5,3358329.158587277,0.021728979059774,2,0.0104166666666666,3,0.0127118644067796,3358329.158587277,2,3,22,0.1930721065399866,0.073170731707317,0.1176470588235294,0.1517830056743506,19
WP231959,HARRIET,1959,5,2723586.458119154,0.0176220823871982,2,0.0104166666666666,6,0.0254237288135593,2723586.458119154,2,6,14,0.1565804154331468,0.1463414634146341,0.1176470588235294,0.148180673937076,20
WP181952,TRIX,1952,6,2723586.458119154,0.0176220823871982,2,0.0104166666666666,6,0.0254237288135593,2723586.458119154,2,6,12,0.1565804154331468,0.1463414634146341,0.1176470588235294,0.148180673937076,21
WP361964,LOUISE:MARGE,1964,3,2164022.0039277077,0.0140016021621941,3,0.015625,3,0.0127118644067796,2164022.0039277077,3,3,20,0.124410761175347,0.073170731707317,0.1764705882352941,0.1194097278673315,22
WP231987,NINA,1987,4,1461914.3687820437,0.0094588425393687,2,0.0104166666666666,8,0.0338983050847457,1461914.3687820437,2,8,8,0.0840462246054993,0.1951219512195122,0.1176470588235294,0.116855281391707,23
WP262012,BOPHA,2012,2,1018401.2709317209,0.0065892349574903,2,0.0104166666666666,10,0.0423728813559322,1018401.2709317209,2,10,21,0.0585484237538227,0.2439024390243902,0.1176470588235294,0.1137517228319206,24
WP311967,EMMA,1967,2,2229827.26023674,0.0144273737196681,2,0.0104166666666666,3,0.0127118644067796,2229827.26023674,2,3,11,0.1281939399100763,0.073170731707317,0.1176470588235294,0.1128561056964044,25
WP021982,NELSON,1982,5,2164022.0039277077,0.0140016021621941,3,0.015625,1,0.0042372881355932,2164022.0039277077,3,1,18,0.124410761175347,0.024390243902439,0.1764705882352941,0.107214605916112,26
WP281978,RITA,1978,4,1967515.224138856,0.0127301688090288,1,0.0052083333333333,5,0.0211864406779661,1967515.224138856,1,5,9,0.1131134832339605,0.1219512195121951,0.0588235294117647,0.1071794242301898,27
WP141955,KATE,1955,6,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,4,0.0169491525423728,2117531.6196603477,1,4,11,0.1217380045751189,0.0975609756097561,0.0588235294117647,0.106256576059275,28
WP302016,NOCK-TEN,2016,6,1608780.257164359,0.0104090906129068,2,0.0104166666666666,5,0.0211864406779661,1608780.257164359,2,5,13,0.0924896216371257,0.1219512195121951,0.1176470588235294,0.1036286366838536,29
WP221959,GILDA,1959,4,2327941.2650969625,0.0150621885506167,1,0.0052083333333333,1,0.0042372881355932,2327941.2650969625,1,1,12,0.1338345655619722,0.024390243902439,0.0588235294117647,0.0952218297245578,30
WP241952,DELLA,1952,9,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,2,0.0084745762711864,2117531.6196603477,1,2,16,0.1217380045751189,0.048780487804878,0.0588235294117647,0.0940614541080555,31
WP181998,ZEB,1998,5,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,2,0.0084745762711864,2117531.6196603477,1,2,11,0.1217380045751189,0.048780487804878,0.0588235294117647,0.0940614541080555,32
WP041967,VIOLET,1967,5,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,2,0.0084745762711864,2117531.6196603477,1,2,17,0.1217380045751189,0.048780487804878,0.0588235294117647,0.0940614541080555,33
WP211971,ROSE,1971,4,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,2,0.0084745762711864,2117531.6196603477,1,2,10,0.1217380045751189,0.048780487804878,0.0588235294117647,0.0940614541080555,34
WP291967,CARLA,1967,5,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,2,0.0084745762711864,2117531.6196603477,1,2,12,0.1217380045751189,0.048780487804878,0.0588235294117647,0.0940614541080555,35
WP181970,KATE,1970,2,1106591.7082202437,0.0071598425646139,1,0.0052083333333333,7,0.0296610169491525,1106591.7082202437,1,7,20,0.0636185382958828,0.1707317073170731,0.0588235294117647,0.0896775792185627,36
WP131984,IKE,1984,1,1441926.0728600023,0.0093295147567063,1,0.0052083333333333,1,0.0042372881355932,1441926.0728600023,1,1,11,0.0828970869785502,0.024390243902439,0.0588235294117647,0.0646593425745046,37
WP252020,VAMCO,2020,6,389384.9829298258,0.0025193891785854,2,0.0104166666666666,5,0.0211864406779661,389384.9829298258,2,5,11,0.0223859471061863,0.1219512195121951,0.1176470588235294,0.06156643196529,38
WP112013,UTOR,2013,5,597024.6035888493,0.0038628539660505,1,0.0052083333333333,5,0.0211864406779661,597024.6035888493,1,5,9,0.0343232579142387,0.1219512195121951,0.0588235294117647,0.0599052890383567,39
WP222011,NALGAE,2011,4,597024.6035888493,0.0038628539660505,1,0.0052083333333333,2,0.0084745762711864,597024.6035888493,1,2,10,0.0343232579142387,0.048780487804878,0.0588235294117647,0.0416126061115274,40
WP262018,MANGKHUT,2018,0,0.0,0.0,0,0.0,5,0.0211864406779661,0.0,0,5,9,0.0,0.1219512195121951,0.0,0.0304878048780487,41
WP242015,KOPPU,2015,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,18,0.0,0.073170731707317,0.0,0.0182926829268292,42
WP171956,JEAN,1956,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,12,0.0,0.073170731707317,0.0,0.0182926829268292,43
WP201995,SIBYL,1995,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,12,0.0,0.048780487804878,0.0,0.0121951219512195,44
WP061951,LOUISE,1951,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,45
WP091987,BETTY,1987,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,10,0.0,0.024390243902439,0.0,0.0060975609756097,46
WP361993,MANNY,1993,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,47
WP261989,ANGELA,1989,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,48
WP271984,AGNES,1984,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,7,0.0,0.024390243902439,0.0,0.0060975609756097,49
WP261992,COLLEEN,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,50
WP191992,TED,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,51
WP231992,YVETTE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,52
WP241992,ANGELA,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,53
WP161993,TASHA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,54
WP061993,KORYN,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,55
WP301993,IRA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,56
WP211993,ABE,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,57
WP261993,FLO,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,0.0,0.0,0.0,0.0,58
WP351993,LOLA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,59
WP101945,QUEENIE,1945,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,60
WP061995,GARY,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,61
WP371993,NELL,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,62
WP231996,SALLY,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,63
WP061999,MAGGIE,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,64
WP241998,FAITH,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,65
WP111998,VICKI,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,66
WP041998,OTTO,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,67
WP271997,IVAN,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,68
WP181997,AMBER,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,69
WP121997,TINA,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,70
WP321996,ABEL:BETH,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,71
WP291996,ZANE,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,72
WP261996,VIOLET,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,73
WP181996,NIKI,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,74
WP021994,OWEN,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,75
WP091996,GLORIA,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,76
WP041996,BART,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,77
WP281995,ZACK,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,78
WP191995,RYAN,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,79
WP121995,KENT,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,80
WP381994,AXEL,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,81
WP341994,TERESA,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,82
WP321994,SETH,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,83
WP171994,DOUG,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,84
WP081994,TIM,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,85
WP051992,ELI,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,86
WP171990,DOT,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,87
WP021992,BOBBIE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,88
WP131986,WAYNE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,45,0.0,0.0,0.0,0.0,89
WP211987,LYNN,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,90
WP141987,GERALD,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,91
WP111987,DINAH,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,92
WP101987,CARY,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,93
WP081987,ALEX,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,94
WP061987,VERNON,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,95
WP051987,THELMA,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,96
WP271986,MARGE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,97
WP241986,JOE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,98
WP191986,ELLEN,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,99
WP151986,ABBY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,100
WP071986,PEGGY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,101
WP261991,SETH,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,102
WP051986,NANCY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,103
WP271985,HOPE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,104
WP241985,FAYE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,0.0,0.0,0.0,0.0,105
WP211985,DOT,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,106
WP201985,BRENDAN,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,107
WP161985,TESS,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,108
WP051985,HAL,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,109
WP281984,BILL,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,110
