storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v4b,rank_index
WP182006,XANGSANE,2006,10,6154359.041497707,0.0398197831195584,9,0.046875,41,0.173728813559322,6154359.041497707,9,41,14,1.0,1.0,1.0,1.0,1
WP291995,ANGELA,1995,6,5289150.893353462,0.0342217345526691,8,0.0416666666666666,27,0.1144067796610169,5289150.893353462,8,27,10,0.859415392844274,0.6585365853658537,0.8888888888888888,0.8136167153813612,2
WP092014,RAMMASUN,2014,4,5813806.296331644,0.0376163470896087,3,0.015625,11,0.0466101694915254,5813806.296331644,3,11,9,0.9446647907816592,0.2682926829268293,0.3333333333333333,0.6838720452007028,3
WP312013,HAIYAN,2013,2,2700952.1610121727,0.0174756345124827,4,0.0208333333333333,17,0.0720338983050847,2700952.1610121727,4,17,6,0.4388681490306546,0.4146341463414634,0.4444444444444444,0.4336460926704252,4
WP282021,RAI,2021,2,2414524.925726652,0.0156224000307602,4,0.0208333333333333,10,0.0423728813559322,2414524.925726652,4,10,9,0.3923276021834209,0.2439024390243902,0.4444444444444444,0.3630388377328167,5
WP222020,GONI,2020,3,2358922.186414242,0.0152626405488475,1,0.0052083333333333,9,0.0381355932203389,2358922.186414242,1,9,11,0.3832929100347355,0.2195121951219512,0.1111111111111111,0.3015204614679957,6
WP292019,KAMMURI,2019,4,2358922.186414242,0.0152626405488475,1,0.0052083333333333,4,0.0169491525423728,2358922.186414242,1,4,12,0.3832929100347355,0.0975609756097561,0.1111111111111111,0.2710326565899469,7
WP201952,WILMA,1952,2,1798013.481767416,0.0116334627874744,3,0.015625,6,0.0254237288135593,1798013.481767416,3,6,8,0.2921528415296772,0.1463414634146341,0.3333333333333333,0.2618770707714649,8
WP271990,MIKE,1990,3,1599812.7754278183,0.0103510694322331,2,0.0104166666666666,6,0.0254237288135593,1599812.7754278183,2,6,8,0.2599479108450735,0.1463414634146341,0.2222222222222222,0.2258874456940359,9
WP201998,BABS,1998,7,1452694.7994749546,0.0093991903078709,1,0.0052083333333333,6,0.0254237288135593,1452694.7994749546,1,6,25,0.2360432320700988,0.1463414634146341,0.1111111111111111,0.1948779717623845,10
WP182022,NORU,2022,12,389384.9829298258,0.0025193891785854,2,0.0104166666666666,15,0.0635593220338983,389384.9829298258,2,15,20,0.0632697865536077,0.3658536585365853,0.2222222222222222,0.1627586198996443,11
WP241988,SKIP,1988,2,827468.4205751419,0.0053538659060045,1,0.0052083333333333,7,0.0296610169491525,827468.4205751419,1,7,8,0.1344524125088697,0.1707317073170731,0.1111111111111111,0.1400210410012568,12
WP252020,VAMCO,2020,6,389384.9829298258,0.0025193891785854,2,0.0104166666666666,5,0.0211864406779661,389384.9829298258,2,5,11,0.0632697865536077,0.1219512195121951,0.2222222222222222,0.1017830101435467,13
WP242006,DURIAN,2006,0,0.0,0.0,0,0.0,13,0.0550847457627118,0.0,0,13,13,0.0,0.3170731707317073,0.0,0.0792682926829268,14
WP262012,BOPHA,2012,0,0.0,0.0,0,0.0,10,0.0423728813559322,0.0,0,10,21,0.0,0.2439024390243902,0.0,0.0609756097560975,15
WP231987,NINA,1987,0,0.0,0.0,0,0.0,8,0.0338983050847457,0.0,0,8,8,0.0,0.1951219512195122,0.0,0.048780487804878,16
WP171970,JOAN,1970,0,0.0,0.0,0,0.0,8,0.0338983050847457,0.0,0,8,12,0.0,0.1951219512195122,0.0,0.048780487804878,17
WP222006,CIMARON,2006,0,0.0,0.0,0,0.0,7,0.0296610169491525,0.0,0,7,27,0.0,0.1707317073170731,0.0,0.0426829268292682,18
WP181970,KATE,1970,0,0.0,0.0,0,0.0,7,0.0296610169491525,0.0,0,7,20,0.0,0.1707317073170731,0.0,0.0426829268292682,19
WP181952,TRIX,1952,0,0.0,0.0,0,0.0,6,0.0254237288135593,0.0,0,6,12,0.0,0.1463414634146341,0.0,0.0365853658536585,20
WP231959,HARRIET,1959,0,0.0,0.0,0,0.0,6,0.0254237288135593,0.0,0,6,14,0.0,0.1463414634146341,0.0,0.0365853658536585,21
WP302016,NOCK-TEN,2016,0,0.0,0.0,0,0.0,5,0.0211864406779661,0.0,0,5,13,0.0,0.1219512195121951,0.0,0.0304878048780487,22
WP262018,MANGKHUT,2018,0,0.0,0.0,0,0.0,5,0.0211864406779661,0.0,0,5,9,0.0,0.1219512195121951,0.0,0.0304878048780487,23
WP281978,RITA,1978,0,0.0,0.0,0,0.0,5,0.0211864406779661,0.0,0,5,9,0.0,0.1219512195121951,0.0,0.0304878048780487,24
WP112013,UTOR,2013,0,0.0,0.0,0,0.0,5,0.0211864406779661,0.0,0,5,9,0.0,0.1219512195121951,0.0,0.0304878048780487,25
WP141955,KATE,1955,0,0.0,0.0,0,0.0,4,0.0169491525423728,0.0,0,4,11,0.0,0.0975609756097561,0.0,0.024390243902439,26
WP361964,LOUISE:MARGE,1964,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,20,0.0,0.073170731707317,0.0,0.0182926829268292,27
WP152010,MEGI,2010,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,22,0.0,0.073170731707317,0.0,0.0182926829268292,28
WP171956,JEAN,1956,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,12,0.0,0.073170731707317,0.0,0.0182926829268292,29
WP251987,PHYLLIS,1987,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,14,0.0,0.073170731707317,0.0,0.0182926829268292,30
WP242015,KOPPU,2015,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,18,0.0,0.073170731707317,0.0,0.0182926829268292,31
WP311967,EMMA,1967,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,11,0.0,0.073170731707317,0.0,0.0182926829268292,32
WP041967,VIOLET,1967,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,17,0.0,0.048780487804878,0.0,0.0121951219512195,33
WP211971,ROSE,1971,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,10,0.0,0.048780487804878,0.0,0.0121951219512195,34
WP201995,SIBYL,1995,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,12,0.0,0.048780487804878,0.0,0.0121951219512195,35
WP291967,CARLA,1967,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,12,0.0,0.048780487804878,0.0,0.0121951219512195,36
WP222011,NALGAE,2011,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,10,0.0,0.048780487804878,0.0,0.0121951219512195,37
WP181998,ZEB,1998,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,11,0.0,0.048780487804878,0.0,0.0121951219512195,38
WP241952,DELLA,1952,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,16,0.0,0.048780487804878,0.0,0.0121951219512195,39
WP261989,ANGELA,1989,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,40
WP061951,LOUISE,1951,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,41
WP361993,MANNY,1993,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,42
WP091987,BETTY,1987,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,10,0.0,0.024390243902439,0.0,0.0060975609756097,43
WP302019,PHANFONE,2019,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,16,0.0,0.024390243902439,0.0,0.0060975609756097,44
WP221959,GILDA,1959,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,12,0.0,0.024390243902439,0.0,0.0060975609756097,45
WP131984,IKE,1984,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,11,0.0,0.024390243902439,0.0,0.0060975609756097,46
WP072008,FENGSHEN,2008,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,17,0.0,0.024390243902439,0.0,0.0060975609756097,47
WP271984,AGNES,1984,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,7,0.0,0.024390243902439,0.0,0.0060975609756097,48
WP021982,NELSON,1982,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,18,0.0,0.024390243902439,0.0,0.0060975609756097,49
WP241992,ANGELA,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,50
WP261992,COLLEEN,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,51
WP061993,KORYN,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,52
WP161993,TASHA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,53
WP081994,TIM,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,54
WP211993,ABE,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,55
WP261993,FLO,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,0.0,0.0,0.0,0.0,56
WP301993,IRA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,57
WP021994,OWEN,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,58
WP371993,NELL,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,59
WP351993,LOLA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,60
WP231992,YVETTE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,61
WP182000,BILIS,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,62
WP261999,DAN,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,63
WP161999,SAM,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,64
WP061999,MAGGIE,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,65
WP241998,FAITH,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,66
WP111998,VICKI,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,67
WP041998,OTTO,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,68
WP271997,IVAN,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,69
WP181997,AMBER,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,70
WP121997,TINA,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,71
WP321996,ABEL:BETH,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,72
WP191995,RYAN,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,73
WP261996,VIOLET,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,74
WP231996,SALLY,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,75
WP181996,NIKI,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,76
WP091996,GLORIA,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,77
WP041996,BART,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,78
WP281995,ZACK,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,79
WP121995,KENT,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,80
WP061995,GARY,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,81
WP381994,AXEL,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,82
WP341994,TERESA,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,83
WP321994,SETH,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,84
WP171994,DOUG,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,85
WP291996,ZANE,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,86
WP041988,THAD,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,87
WP021988,SUSAN,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,88
WP011988,ROY,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,89
WP211987,LYNN,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,90
WP141987,GERALD,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,91
WP111987,DINAH,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,92
WP101987,CARY,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,93
WP081987,ALEX,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,94
WP061987,VERNON,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,95
WP051987,THELMA,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,96
WP271986,MARGE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,97
WP241986,JOE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,98
WP191986,ELLEN,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,99
WP062000,KAI-TAK,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,100
WP131986,WAYNE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,45,0.0,0.0,0.0,0.0,101
WP071986,PEGGY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,102
WP051986,NANCY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,103
WP271985,HOPE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,104
WP241985,FAYE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,0.0,0.0,0.0,0.0,105
WP211985,DOT,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,106
WP201985,BRENDAN,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,107
WP161985,TESS,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,108
WP051985,HAL,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,109
WP281984,BILL,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,110
WP261984,WARREN,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,111
WP031984,ALEX,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,112
WP201983,ORCHID,1983,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,32,0.0,0.0,0.0,0.0,113
WP151986,ABBY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,114
WP191992,TED,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,115
WP051992,ELI,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,116
WP021992,BOBBIE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,117
WP261991,SETH,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,118
WP251991,RUTH,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,119
WP221991,NAT,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,58,0.0,0.0,0.0,0.0,120
WP081991,BRENDAN,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,121
WP071991,AMY,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,122
WP051991,YUNYA,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,21,0.0,0.0,0.0,0.0,123
WP041991,WALT,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,124
WP291990,PAGE,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,125
WP191990,ED,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,126
WP171990,DOT,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,127
WP061988,WARREN,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,128
WP131990,YANCY,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,129
WP071990,PERCY,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,130
WP061990,OFELIA,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,131
WP031990,MARIAN,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,132
